Z,EPICS_SHELL,H0[mc]
78,19,14.25174362
78,21,10.74362181
78,22,11.00399026
78,24,9.455483695
78,25,9.565112442
78,27,51.38849981
78,29,34.25899844
78,30,37.54786272
78,32,39.32933029
78,33,41.65894279
78,41,198.7021994
79,1,1.273064465
79,3,4.535891554
79,5,2.206279601
79,6,2.480351684
79,8,9.962517078
79,10,5.837733711
79,11,6.289952118
79,13,4.069969308
79,14,4.16589425
79,16,20.55539955
79,18,12.92249458
79,19,13.97767143
79,21,10.51066082
79,22,10.75732544
79,24,9.126597552
79,25,9.249929763
79,27,49.74406989
79,29,33.16271021
79,30,36.45157467
79,32,37.41082714
79,33,39.46636769
79,41,193.2207579
80,1,1.251138652
80,3,4.453669924
80,5,2.16516887
80,6,2.452944301
80,8,9.784370429
80,10,5.728104988
80,11,6.19402711
80,13,4.001451052
80,14,4.111079961
80,16,20.14429171
80,18,12.64842319
80,19,13.63508238
80,21,10.27769958
80,22,10.52436514
80,24,8.838821545
80,25,8.948451122
80,27,47.96260085
80,29,31.9293886
80,30,35.08121698
80,32,34.53307147
80,33,36.31453805
80,41,176.7764391
81,1,1.230583268
81,3,4.385151866
81,5,2.12405789
81,6,2.411833528
81,8,9.619926827
81,10,5.632179323
81,11,6.098101897
81,13,3.932933002
81,14,4.042562036
81,16,19.73318346
81,18,12.37435095
81,19,13.37471332
81,21,10.04473843
81,22,10.29140374
81,24,8.564750133
81,25,8.674379174
81,27,46.18113394
81,29,30.69606463
81,30,33.71085723
81,32,32.20345865
81,33,33.43678223
81,41,157.5913986
81,44,125.1138672
82,1,1.208657523
82,3,4.302930311
82,5,2.096650682
82,6,2.384426319
82,8,9.441780346
82,10,5.522550818
82,11,6.002176529
82,13,3.878118675
82,14,3.974044168
82,16,19.32207565
82,18,12.11398243
82,19,13.11434486
82,21,9.839184763
82,22,10.07214566
82,24,8.304381427
82,25,8.414010713
82,27,44.53669955
82,29,29.46273836
82,30,32.47753301
82,32,30.28495512
82,33,31.10717059
82,41,142.517439
82,43,110.7250873
